Insects,Level,Weather,Time,Location,1 star price,2 star price,3 star price,4 star price,5 star price
Bumblebee,2,"Sun, Rain, Snow, Rainbow",All Day,Flower Field,110,165,220,440,880
Katydid,3,"Sun, Rain, Snow, Rainbow",All Day,Amethyst Beach,180,270,360,720,1440
Picasso Bug,8,"Sun, Rainbow",6:00PM-6:00AM,"Flower Field, Amethyst Beach",185,277,370,740,1480
Purple Emperor,3,"Sun, Rainbow",12:00PM-6:00AM,Whale Mountain,90,135,180,360,720
Splay-Footed Carpenter,5,"Sun, Rainbow",All Day,"Flower Field, Whale Mountain",165,247,330,660,1320
Elegant Flower Beetle,7,"Rain, Snow, Rainbow",6:00AM-6:00PM,"Flower Field, Whale Mountain",275,412,550,1100,2200
Peacock Butterfly,5,"Sun, Rain, Snow, Rainbow",All Day,Windmill Flower Field,90,135,180,360,720
Mother of Pearl,9,"Rain, Snow, Rainbow",12:00AM-12:00PM,Windmill Flower Field,240,360,480,960,1920
Morpho Helena,10,Rainbow,6:00AM-6:00PM,"Flower Field, Amethyst Beach",240,360,480,960,1920
Old World Swallowtail,1,"Sun, Rain, Snow, Rainbow",All Day,Forest,30,45,60,120,240
Wasp Beetle,3,"Sun, Rain, Snow, Rainbow",All Day,Forest,110,165,220,440,880
Waroona Cuckoo Bee,3,"Sun, Rain, Snow, Rainbow",6:00AM-12:00AM,Forest Deer Tower,165,247,330,660,1320
Alpine Longhorn Beetle,5,Rainbow,All Day,Forest Island,165,247,330,660,1320
Asian Lady Beetle,5,"Rain, Snow, Rainbow",12:00PM-6:00AM,Forest Deer Tower,165,247,330,660,1320
Beautiful Demoiselle,6,"Rain, Snow, Rainbow",All Day,Forest Lake Shore,110,165,220,440,880
Golden Jewel Scarab,7,"Sun, Rainbow",12:00PM-12:00AM,Forest Jump Puzzle,275,412,550,1100,2200
Stag Beetle,7,"Rain, Snow, Rainbow",6:00AM-12:00AM,Forest Jump Puzzle,275,412,550,1100,2200
Bagworm Moth,10,"Sun, Rainbow",6:00PM-6:00AM,Forest Deer Tower,440,660,880,1760,3520
Sunset Morpho,10,Rainbow,6:00AM-6:00PM,Forest Deer Tower,240,360,480,960,1920
